chemical_class,k,composite,heldout_reconstruction,band_fidelity,stability,redundancy,activation_sparsity,residual_structure
acylglycerol,1,0.48603,0.579703,0.92578,1.0,0.0,0.0,0.150663
acylglycerol,2,0.500346,0.718666,0.98083,1.0,0.445375,0.53973,0.044508
acylglycerol,3,0.45276,0.80036,0.990051,1.0,0.806647,0.581653,0.021586
acylglycerol,4,0.445727,0.80705,0.995308,1.0,0.866633,0.596719,0.010903
acylglycerol,5,0.449349,0.811409,0.996151,1.0,0.862395,0.611706,0.008545
acylglycerol,6,0.436149,0.816004,0.997056,1.0,0.914945,0.571576,0.006316
acylglycerol,7,0.438874,0.827714,0.998644,1.0,0.908267,0.555541,0.002989
acylglycerol,8,0.442303,0.828722,0.998916,1.0,0.907044,0.584259,0.002419
carboxylic_acid_metabolite,1,0.337373,0.123313,0.837552,1.0,0.0,0.0,0.548004
carboxylic_acid_metabolite,2,0.360304,0.132781,0.883785,1.0,0.328443,0.628189,0.401389
carboxylic_acid_metabolite,3,0.379191,0.144411,0.919222,0.972222,0.290977,0.587042,0.284893
carboxylic_acid_metabolite,4,0.384922,0.159637,0.938944,0.916667,0.27749,0.569768,0.196067
chromophore_pigment,1,0.348344,0.075615,0.812424,1.0,0.0,0.0,0.292638
chromophore_pigment,2,0.518881,0.335661,0.971167,1.0,0.107201,0.877394,0.087839
fatty_acid,1,0.427782,0.404962,0.875094,1.0,0.0,0.0,0.282293
fatty_acid,2,0.491974,0.57899,0.956913,1.0,0.338057,0.645066,0.121018
fatty_acid,3,0.445888,0.617539,0.969306,1.0,0.566675,0.493454,0.074913
fatty_acid,4,0.442048,0.653546,0.980533,1.0,0.653014,0.505028,0.046683
fatty_acid,5,0.438764,0.674482,0.987835,1.0,0.746523,0.583927,0.027873
fatty_acid,6,0.416226,0.677279,0.989731,0.958333,0.819067,0.57282,0.023116
fatty_acid,7,0.413314,0.678404,0.992046,0.964286,0.855413,0.592653,0.018161
fatty_acid,8,0.42991,0.68606,0.995186,0.979167,0.816962,0.62305,0.010847
free_amino_acid,1,0.355431,0.218282,0.82127,1.0,0.0,0.0,0.524791
free_amino_acid,2,0.325659,0.244128,0.829132,1.0,0.466686,0.472751,0.429312
free_amino_acid,3,0.342493,0.249552,0.867983,0.972222,0.433327,0.474443,0.36237
free_amino_acid,4,0.35066,0.257745,0.901895,0.854167,0.366618,0.499971,0.287743
free_amino_acid,5,0.384343,0.265562,0.918066,0.95,0.349462,0.51471,0.239615
free_amino_acid,6,0.37742,0.27099,0.931502,0.902778,0.400222,0.571232,0.20713
free_amino_acid,7,0.377399,0.280894,0.947789,0.892857,0.452965,0.598213,0.161376
free_amino_acid,8,0.392554,0.286458,0.957795,0.927083,0.436768,0.590008,0.133609
free_amino_acid,9,0.385734,0.289169,0.964126,0.888889,0.454825,0.593558,0.110939
mono_oligosaccharide,1,0.38572,0.268158,0.872462,1.0,0.0,0.0,0.424036
mono_oligosaccharide,2,0.335861,0.284096,0.892331,0.875,0.395641,0.388657,0.34162
mono_oligosaccharide,3,0.361753,0.312171,0.910139,0.972222,0.451265,0.404715,0.273716
mono_oligosaccharide,4,0.357174,0.333287,0.925785,0.895833,0.494965,0.475205,0.223343
mono_oligosaccharide,5,0.374001,0.343732,0.938057,0.95,0.516429,0.499064,0.189778
mono_oligosaccharide,6,0.386388,0.346181,0.946485,0.958333,0.502101,0.525235,0.159148
mono_oligosaccharide,7,0.384767,0.354146,0.957784,0.904762,0.513669,0.574856,0.133227
mono_oligosaccharide,8,0.377834,0.358014,0.963637,0.895833,0.575676,0.608343,0.113626
mono_oligosaccharide,9,0.389394,0.362493,0.969697,0.925926,0.574844,0.617183,0.089786
mono_oligosaccharide,10,0.379081,0.370732,0.97382,0.85,0.575279,0.627084,0.074824
nucleic_acid_polymer,1,0.507783,0.579985,0.981644,1.0,0.0,0.0,0.045431
peptide_protein,1,0.468213,0.564823,0.883446,1.0,0.0,0.0,0.214407
peptide_protein,2,0.495291,0.645298,0.939626,1.0,0.344047,0.594399,0.123248
peptide_protein,3,0.485162,0.661272,0.962828,0.972222,0.408405,0.562167,0.086381
peptide_protein,4,0.469301,0.665118,0.969195,0.916667,0.454402,0.568552,0.068693
peptide_protein,5,0.416816,0.672909,0.977838,0.933333,0.751891,0.554957,0.051177
peptide_protein,6,0.406879,0.684227,0.980246,0.944444,0.773011,0.441285,0.044308
peptide_protein,7,0.405267,0.69316,0.983571,0.928571,0.787463,0.454034,0.03704
peptide_protein,8,0.409661,0.699101,0.986734,0.916667,0.756716,0.434921,0.029883
peptide_protein,9,0.408738,0.713441,0.990264,0.916667,0.782715,0.434335,0.022263
peptide_protein,10,0.408095,0.717608,0.992344,0.95,0.840569,0.459643,0.017458
peptide_protein,11,0.404861,0.721318,0.993707,0.962121,0.876365,0.461475,0.014426
peptide_protein,12,0.390558,0.723671,0.994303,0.881944,0.880383,0.47956,0.013054
peptide_protein,13,0.391989,0.725996,0.995129,0.891026,0.890362,0.487111,0.0108
peptide_protein,14,0.401888,0.727905,0.996068,0.928571,0.89378,0.50995,0.008599
peptide_protein,15,0.408823,0.731284,0.99672,0.95,0.885554,0.510334,0.007007
phosphate_metabolite,1,0.371506,0.101066,0.921959,1.0,0.0,0.0,0.33099
phospholipid_sphingolipid,1,0.452549,0.461635,0.895472,1.0,0.0,0.0,0.188718
